,ISO,Country_x,Infection Rate %,Mortality Rate %,Total Cases,Total Deaths,GDP per Capita,Population Density,Continent,Country_y,Most Recent Gini Index,Proportion of Internet Users in the Population in 2017
138,POL,Poland,0.23770163796726285,2.7600542451257195,89962.0,2483.0,27216.445,124.027,Europe,Poland,29.7,0.7598536595000001
139,PRI,Puerto Rico,1.6941527663203813,1.3493717374708565,48467.0,654.0,35044.67,376.23199999999997,North America,,,0.6874077314
140,PRT,Portugal,0.7327561731449183,2.62724681130131,74717.0,1963.0,27936.896,112.37100000000001,Europe,Portugal,33.8,0.7379121395
141,PRY,Paraguay,0.5622268676051836,2.097204558489813,40101.0,841.0,8827.01,17.144000000000002,South America,Paraguay,46.2,0.6107575622
142,PSE,Palestine,0.9823743054869472,0.7183478000598623,50115.0,360.0,4449.898,778.202,Asia,West Bank and Gaza,33.7,0.652
143,QAT,Qatar,4.357181037534796,0.1704731026901293,125533.0,214.0,116935.6,227.322,Asia,,,0.9738884917
144,ROU,Romania,0.651918458783132,3.82094503006044,125414.0,4792.0,23313.199,85.12899999999999,Europe,Romania,36.0,0.6374728218
145,RUS,Russia,0.800225662944859,1.7592834420130075,1167805.0,20545.0,24765.953999999998,8.823,Europe,Russian Federation,37.5,0.7600813852999999
146,RWA,Rwanda,0.037337260385467835,0.5996691480562448,4836.0,29.0,1854.211,494.869,Africa,Rwanda,43.7,0.2176763262
147,SAU,Saudi Arabia,0.9599249632337596,1.4180683270145158,334187.0,4739.0,49045.41099999999,15.322000000000001,Asia,,,0.9417559961
148,SDN,Sudan,0.03102902353970827,6.144348081728649,13606.0,836.0,4466.5070000000005,23.258000000000003,Africa,,,0.30870295729999997
149,SEN,Senegal,0.08925622598756684,2.074272331883573,14945.0,310.0,2470.58,82.32799999999999,Africa,,,0.2964312367
150,SGP,Singapore,0.9869848656736879,0.04675972429081085,57742.0,27.0,85535.383,7915.731,Asia,,,0.8445226789
151,SLE,Sierra Leone,0.02785513574364249,3.2403240324032403,2222.0,72.0,1390.3,104.7,Africa,Sierra Leone,35.7,0.1323693043
152,SLV,El Salvador,0.4468100818953961,2.908802318760567,28981.0,843.0,7292.4580000000005,307.811,North America,El Salvador,38.6,0.33820728899999997
153,SMR,San Marino,2.1421415522423244,5.777166437414031,727.0,42.0,56861.47,556.6669999999999,Europe,,,0.6018230126
154,SRB,Serbia,0.49200569732574867,2.2372233340302876,33479.0,749.0,14048.881000000001,80.291,Europe,Serbia,36.2,0.7033083553
155,STP,Sao Tome and Principe,0.41567614675968806,1.646542261251372,911.0,15.0,3052.7140000000004,212.84099999999998,Africa,Sao Tome and Principe,56.3,0.299312292
156,SUR,Suriname,0.8289666129136736,2.1385975735142915,4863.0,104.0,13767.118999999999,3.612,South America,,,0.4894517397
157,SVK,Slovakia,0.1753594511582534,0.4700229789011907,9574.0,45.0,30155.152000000002,113.12799999999999,Europe,Slovak Republic,25.2,0.8162566751999999
158,SVN,Slovenia,0.26393359667367666,2.5150355385456535,5487.0,138.0,31400.84,102.619,Europe,Slovenia,24.2,0.7888542636
159,SWE,Sweden,0.92236369559384,6.315484369632429,93152.0,5883.0,46949.282999999996,24.718000000000004,Europe,Sweden,28.8,0.9300626697
160,SWZ,Swaziland,0.47079550822125144,1.9772976931526913,5462.0,108.0,7738.975,79.492,Africa,Eswatini,54.6,0.303
161,SXM,Sint Maarten (Dutch part),1.5367753369712234,3.338391502276176,659.0,22.0,36327.232,1209.088,North America,,,
162,SYC,Seychelles,0.14541387024608501,0.0,143.0,0.0,26382.287,208.354,Africa,,,0.5876981124
163,TCD,Chad,0.007262938273121668,7.124895222129086,1193.0,85.0,1768.1529999999998,11.833,Africa,,,0.0649999812
164,TGO,Togo,0.021247202320837103,2.7288231949971573,1759.0,48.0,1429.8129999999999,143.366,Africa,Togo,43.1,0.12360224970000001
165,THA,Thailand,0.005106018801323977,1.655443322109989,3564.0,59.0,16277.671,135.132,Asia,Thailand,36.4,0.5289192934
166,TJK,Tajikistan,0.10197489064907239,0.771128932757557,9726.0,75.0,2896.913,64.281,Asia,Tajikistan,34.0,0.21960000000000002
167,TLS,Timor,0.0021237187528916706,0.0,28.0,0.0,6570.102,87.176,Asia,,,0.2749273173
168,TTO,Trinidad and Tobago,0.3189016578170206,1.6580775263275824,4463.0,74.0,28763.071,266.88599999999997,North America,,,0.7732605293
169,TUN,Tunisia,0.14726764161427333,1.4133869577707556,17405.0,246.0,10849.296999999999,74.22800000000001,Africa,Tunisia,32.8,0.5550015506
170,TUR,Turkey,0.3761862815010747,2.5624700572379537,317272.0,8130.0,25129.341,104.914,Asia,Turkey,41.9,0.6468461768
171,TWN,Taiwan,0.002158142737629255,1.3618677042801557,514.0,7.0,24828.0,671.0,Asia,,,
172,TZA,Tanzania,0.000852107987092757,4.12573673870334,509.0,21.0,2683.304,64.699,Africa,Tanzania,40.5,0.1599999943
173,UGA,Uganda,0.017526945191403773,0.9355120369215417,8017.0,75.0,1697.707,213.75900000000001,Africa,Uganda,42.8,0.2370653091
174,UKR,Ukraine,0.4685899513005502,1.9835847988601096,204932.0,4065.0,7894.393,77.39,Europe,Ukraine,26.1,0.5888947945
175,URY,Uruguay,0.05852503665371516,2.3610427939006393,2033.0,48.0,20551.409,19.750999999999998,South America,Uruguay,39.7,0.7032235440000001
176,USA,United States,2.172508608367715,2.8646398632969463,7191061.0,205998.0,54225.445999999996,35.608000000000004,North America,United States,41.1,0.8727488916999999
177,UZB,Uzbekistan,0.1688686962601047,0.8280401280985155,56519.0,468.0,6253.104,76.134,Asia,,,0.4869999885
178,VCT,Saint Vincent and the Grenadines,0.057685201041938944,0.0,64.0,0.0,10727.146,281.78700000000003,North America,,,
179,VEN,Venezuela,0.2615105818716826,0.8350927208423543,74363.0,621.0,16745.022,36.253,South America,,,0.6431336383
180,VNM,Vietnam,0.0011239119846238156,3.19926873857404,1094.0,35.0,6171.884,308.127,Asia,Vietnam,35.7,0.5814
181,OWID_KOS,Kosovo,0.8057848460295928,4.0130987543341465,15574.0,625.0,9795.834,168.155,Europe,,,
182,YEM,Yemen,0.0068229135094626265,28.89434889434889,2035.0,588.0,1479.1470000000002,53.508,Asia,,,0.2671835477
183,ZAF,South Africa,1.1340193148761168,2.478098999066271,672572.0,16667.0,12294.876,46.754,Africa,,,0.5616739447
184,ZMB,Zambia,0.08004261977128319,2.256201155283724,14715.0,332.0,3689.2509999999997,22.995,Africa,Zambia,57.1,0.278525791
185,ZWE,Zimbabwe,0.052728510339854325,2.9092765088681896,7837.0,228.0,1899.775,42.729,Africa,Zimbabwe,44.3,0.2705548769
